pole_id,latitude,longitude,desc_addr,luminaire,pole_construction,arm_length,pole_use,cmo_obj_id,led_project,led_status,led_type
12K244J,37.3260112,-121.9104465,PARK AVE 1027,S-L-55,STANDARD WOOD,4 FT,ST LIGHT ONLY,31618,,Future,
12K245,37.32608008,-121.9057407,PARK AVE 845 OPP,S4H-70,UNKNOWN,OTHER,ST LIGHT ONLY,31619,,Future,
12K248J,37.3307647,-121.9118337,RACE ST OPP SIERRA AVE,S-L-90,UNKNOWN,30 INCHES,ST LIGHT ONLY,31621,,Future,
12K25,37.32631323,-121.9053186,PARK AVE 798 OPP,S-L-135,STEEL,8 FT,ST LIGHT ONLY,31622,,Future,
12K253,37.33298267,-121.9098387,N KEEBLE AVE 60,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31624,,Future,
12K254,37.33243456,-121.9097308,N KEEBLE AVE ES 250' NO THE ALAMEDA,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31625,,Future,
12K256,37.33317348,-121.9060195,CLINTON PL SS 150' WO STOCKTON AVE,S-L-55,STEEL,8 FT,ST LIGHT ONLY,31626,,Future,
12K257,37.333352,-121.9056451,CLINTON PL & STOCKTON AVE NWC,S-L-55,GALVANIZED,8 FT,ST LIGHT ONLY,31627,,Future,
12K260,37.3287376,-121.9114351,W SAN FERNANDO ST NS 40' EO RACE ST,S-L-55,STEEL,6 FT,ST LIGHT ONLY,31630,,Future,
12K261,37.32878812,-121.9100797,W SAN FERNANDO ST 1042 OPP,S-L-55,GALVANIZED,8 FT,ST LIGHT ONLY,31631,,Future,
12K266,37.32608575,-121.9053208,PARK AVE 810,S-L-90,STEEL,8 FT,ST LIGHT ONLY,31633,,Future,
12K267,37.3260682,-121.9049733,PARK AVE 782,S-L-135,UNKNOWN,OTHER,ST LIGHT ONLY,31634,,Future,
12K268,37.32605117,-121.9046916,PARK AVE & MCEVOY ST SWC,S-L-90,UNKNOWN,OTHER,ST LIGHT ONLY,31635,,Future,
